laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
2096,-489,109,-54
3185,1854,127,-67
6075,1063,96,-38
2839,-352,96,-61
2596,2297,155,-253
3139,2065,142,-54
3813,1687,126,-38
3664,778,118,-49
3510,1813,132,-27
4046,594,117,-93
3017,1952,126,-53
2973,700,103,-85
3786,894,101,-89
3972,1919,101,-22
3854,1589,131,-44
4180,1908,100,-96
6048,-782,87,-84
4197,1979,122,-54
5751,2086,98,-73
6068,-73,-200,-133
4337,1730,84,-74
5016,1883,134,-36
5444,2050,107,-22
3149,112,101,-69
5221,1684,105,13
4753,1394,100,-87
5104,1133,106,-54
5288,1423,110,-61
5156,1189,106,-22
5457,2075,92,-44
5978,2237,108,-50
5873,-217,58,-62
5671,1889,71,-58
5114,1072,103,-49
6596,1064,131,-51
6103,1005,46,-77
6406,1013,124,-42
6004,1160,137,-44
5119,1057,109,-41
5920,1669,115,-36
5913,1113,134,-44
5667,981,89,-78
5283,837,81,-68
5352,825,89,-25
4961,1208,113,-15
5421,1718,102,-20
5882,1527,102,-28
4798,1894,140,-51
4825,1661,97,-30
5558,2015,137,-17
4498,-72,86,-58
5452,2026,127,16
6139,908,111,-40
4928,1036,120,-91
4692,960,77,-65
5201,822,-126,-58
6096,1322,133,-36
6330,1154,88,-61
6355,1036,98,-95
5672,1014,90,-31
4702,806,93,-57
6251,1142,84,-11
5313,784,114,-104
4351,1149,106,-15
5072,1354,87,-43
4971,1148,105,-39
5629,1131,97,-49
8102,1425,115,-36
8401,1681,103,-26
7619,1132,101,-69
7267,1376,86,-42
7101,1965,125,-75
7365,536,76,-58
7601,1817,99,-20
7236,429,75,-15
8154,1208,97,-59
7659,1011,102,-103
7923,1380,119,-50
8132,1406,127,-73
7728,1667,104,-66
7688,543,98,-74
8129,1310,106,-90
8033,829,104,-60
7596,1519,101,-54
7799,1214,113,-32
8018,1284,107,-7
8222,801,123,-100
8170,1469,140,-34
7755,1597,106,-60
7943,1052,95,-65
7362,914,83,-40
7774,933,86,-33
8113,1127,94,-70
8005,1455,93,-11
7869,975,119,-65
7702,1396,83,-25
7964,1553,124,-31
8123,1153,84,-69
8159,1464,94,-42
7624,797,104,-65
7556,1187,97,-61
7950,1170,95,-62
8249,860,90,-71
8187,1100,103,-35
8739,1548,57,-47
8222,1376,133,-41
7982,1425,113,-21

SCAN 5 - Left to Right
8444,1562,99,-67
7834,418,117,-54
8621,632,96,-51
7954,-156,109,-72
8845,-119,89,-78
8534,-296,56,-65
8208,-1626,113,-95
8146,-12,117,-71
8277,-2794,44,-158
6195,66,109,-79
7695,-2644,37,-141
8225,-1906,54,-122
8350,-322,83,-84
7952,-3223,12,-163
7873,762,80,-100
7970,-3059,37,-100
7964,-554,81,-82
8044,-855,59,-76
8008,-1910,28,-107
7804,-1282,60,-102
8024,-1633,54,-130
7946,-3101,37,-150
8022,335,101,-110
8097,-863,61,-84
7658,-2436,45,-126
8514,-218,112,-76
8297,-2115,42,-112
8019,-1656,53,-103
8142,-1678,47,-105
7923,-671,79,-100
7814,-2133,65,-146
7299,102,101,-78
7174,-1892,71,-96
7470,-2609,28,-129
8106,-2108,67,-101
7898,-508,137,-82
8317,-1767,62,-99
7249,-1403,98,-116
7389,-702,81,-99
7816,-1355,45,-110
7753,-1550,89,-107
7216,-1529,69,-144
7161,-2134,62,-119
7331,-586,77,-68
7497,-1199,44,-79
6778,-1617,87,-71
6435,-1298,75,-100
4648,-1321,86,-108
4437,-1181,84,-121
6403,-1533,67,-93
4769,-1238,78,-113
5698,-1729,76,-110
4827,-1221,68,-104
6359,-1333,80,-94
6482,-1541,33,-84
5794,-1406,39,-116
6093,-1372,84,-59
5859,-1065,75,-99
5424,-1223,58,-110
4697,-1634,110,-117
