laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
9092,1419,78,-78
7779,1345,89,-49
8312,1081,126,-65
8130,1157,105,-57
8516,1130,113,-71
8672,1033,110,-16
8399,1247,106,-56
8526,919,105,-77
8805,1287,70,-21
8384,1462,116,-66
9126,1202,126,-36
8162,1404,140,-74
8673,1882,90,-19
9529,2009,124,-19
8520,1311,87,5
8040,469,100,-74
8960,1719,137,-87
8149,1055,84,-60
8684,1165,118,-62
8801,1016,132,-50
8596,991,121,-52
8481,1425,113,-21
8211,1396,139,-36
8052,1096,85,-49
8141,1049,82,-73
4208,942,129,-76
8879,1009,114,-60
8675,1225,128,-77
8188,1199,78,-52
9209,1031,115,-98
8745,1378,123,-75
9342,970,95,-50
8917,1168,136,-78
8529,1360,87,-55
8718,1562,124,-32
8607,659,130,-83
8559,1334,142,-62
7691,1181,105,-91
8542,1202,155,-76
8383,926,116,-57
8647,1891,82,-34
8728,1096,95,-66
8805,1865,111,-50
9345,874,108,-55
9043,1640,131,-68
8074,1127,96,-64
9013,1708,114,-59
8971,899,97,-63
8880,1281,128,-62
524,1074,114,-59
8932,1246,105,-56
8757,1255,107,-94
9132,1033,107,-57
9028,1233,114,-104
9708,1978,99,-40
9061,895,116,-62
9134,1260,141,-34
8658,892,112,-105
8770,1994,93,-84
8629,1091,123,-59
8435,1296,105,-62
8544,1103,99,-70
8467,1110,142,-67
8763,1138,94,-64
8576,1184,148,-58
9028,1823,143,-11
8801,916,145,-62
9309,1784,114,-45
8560,698,107,-58
8569,1101,115,-66
9350,1548,136,-33
8769,1117,131,-46
9563,1969,125,-40
8800,375,93,-57
8454,1150,157,-61
8757,1289,81,-66
9758,1012,131,-116
9420,1175,98,-51
9287,1010,87,-2
9527,1459,83,-89
9093,1486,148,-30
9600,1234,116,-45
8962,1103,87,-9
9143,1243,129,-30
9586,1199,108,-46
9309,1671,131,-41
8895,546,114,-50
9518,914,51,-33
9268,1446,89,-79
9585,1027,145,-81
9545,1216,108,-69
9600,1737,126,-60
9495,1069,155,-56
9049,1668,93,-51
9557,639,122,-77
9816,1314,136,-57
9366,1318,143,-50
5389,1334,77,-65
9400,1303,101,-75
8716,1007,125,-49
8024,1143,93,-68
9361,1179,136,
SCAN 5 - Left to Right
-31
9492,1182,104,-55
9813,289,119,-69
9226,28,139,-75
9528,-219,82,-81
9633,-323,87,-112
9281,-8,64,-68
9135,-251,91,-104
10107,-3267,12,-171
9620,-197,74,-77
9228,-3107,3,-163
9838,-388,132,-50
9459,-2060,38,-116
5824,-1134,46,-84
9452,-1653,57,-160
9784,-854,70,-90
9908,-2390,47,-137
9623,-279,90,-89
8947,-1939,53,-144
9958,-2048,60,-148
9225,-1935,148,-69
8702,-3149,74,-139
9064,-323,76,-83
9255,-1162,59,-111
8737,-657,129,-87
8546,-2600,20,-141
9621,-1920,53,-129
9132,-2048,44,-118
8667,-1996,67,-85
8712,259,89,-49
9584,-2044,34,-121
9053,-2300,49,-114
8570,-312,89,-159
9681,-2114,48,-134
9134,-640,-730,-101
9121,-2266,83,-132
9081,-347,68,-108
9175,-1993,112,-139
8833,-964,86,-114
9406,-1447,66,-117
9361,-2800,67,-173
8845,-767,56,-85
7996,-1640,78,-105
8535,-2537,62,-126
8680,47,105,-82
8503,-2011,79,-98
8699,-2369,83,-166
8624,239,98,-78
8586,-1336,49,-119
9398,-1518,53,-127
8646,-1418,57,-78
8508,-1578,73,-116
9079,-2405,50,-130
8694,-1818,59,-142
8234,-834,114,-117
8400,-2035,61,-103
8803,-361,69,-94
8491,-2281,87,-122
7945,-1378,87,-99
8143,-2232,82,-117
8328,-2273,56,-146
8359,-227,130,-85
7650,-1869,78,-132
8519,-1485,51,-131
8444,-1077,82,-120
8553,-1447,76,-80
8485,-1428,32,-134
8639,-1730,85,-105
8795,-1337,64,-106
8899,-1109,59,-63
8831,-1164,85,-103
8582,-1205,55,-138
8215,-1311,104,-121
8604,-1872,67,-113
8554,-1397,55,-106
8466,-1515,64,-99
7786,-1236,23,-122
8045,-1214,50,-106
8752,-1336,70,-131
8887,-1685,70,-137
8221,-1227,84,-114
7789,-1184,69,-99
8454,-1472,53,-91
8403,-1722,70,-107
8391,-1531,81,-104
8661,-1221,85,-142
8234,-1642,63,-131
8090,-2098,79,-117
8828,-1689,38,-163
9133,-956,75,-136
8966,-1621,62,-165
7706,-1411,46,-106
7504,-1534,90,-95
8976,-1450,87,-116
7839,-1661,19,-90
8340,-1514,90,-149
7729,-1153,54,-139
8228,-1118,67,-131
9182,-1770,71,-115
8348,-1297,60,-117
7964,-2023,60,-128
9316,-2067,75,-95
8166,-1538,65,-115
9377,-1436,61,-122
8162,-1418,47,-100
7984,-1289,110,-139
8286,-1273,66,-125
8801,-1465,91,-133
8784,-1887,64,-139
8362,-1243,75,-140
8157,-1644,86,-93
8608,-2107,38,-108
8785,-1193,85,-116
8603,-1699,77,-113
8119,-1506,43,-98
8259,-1118,107,-73
8617,-1381,31,-116
8358,-1554,69,-88
8211,-1378,102,-118
7795,-1395,36,-106
8604,-1834,41,-114
8510,-1098,88,-121
8942,-1792,107,-130
8600,-1194,516,70
8456,-2045,41,-82
8619,-943,92,-74
8837,-1409,54,-114
9188,-1912,56,-125
8401,-1349,56,-129
8500,-1742,66,-117
8510,-1518,71,-101
8670,-1338,52,-96
9109,-1736,74,-109
7473,-2108,30,-115
9069,-916,97,-133
9232,-1033,88,-92
8185,-1589,68,-105
8668,-1838,480,-91
8742,-1574,115,-122
9145,-1309,91,-137
8823,-968,136,-115
8571,-1570,75,-129
8555,-1162,77,-112
9147,-1969,77,-174
9189,-1356,132,-86
8491,-2004,57,-146
9295,-893,59,-94
8309,-1672,44,-104
8754,-1522,29,-118
8689,-1206,113,-74
8649,-1788,51,-112
8625,-1089,75,-96
7959,-1397,96,-104
8937,-2278,28,-142
